Unnamed: 0,core,time,section,face,ACorDC,AC_col_sp,DC_col_sp,DC_volt,note,mm_per_encode_step,num_tracks,ACDC_offset,laser_offset,Y_left,Y_right,AC_edgespace,DC_edgespace,idx1_raw,idx1_rel,idx2_rel,idx3_rel,idx_abs,xmin,xmax,header
120,ALHIC2302,2024-04-18-14-17,155_2,r,DC,10,25,1000,,0.25,10,305,-10,41.20951562,156.2164492,18,10,213.4609375,0,0,0,126.4,239.1625,791.4953125,22
121,ALHIC2302,2024-04-15-16-21,155_2,t,AC,10,25,1000,,0.25,13,305,-10,0,242.9490156,18,10,234.8375,0,0,0,126.4,267.165625,828.5375,22
122,ALHIC2302,2024-04-15-16-05,155_2,t,DC,10,25,1000,,0.25,14,305,-10,0,242.9490156,18,10,234.8375,0,0,0,126.4,267.165625,828.5375,22
123,ALHIC2302,2024-04-18-16-27,155_2,tr,AC,10,25,1000,,0.25,9,305,-10,29.6148125,145.7702031,18,10,239.04375,0,0,0,126.4,259.7484375,817.7875,22
124,ALHIC2302,2024-04-18-15-41,155_2,tr,DC,10,25,1000,,0.25,11,305,-10,29.6148125,145.7702031,18,10,239.04375,0,0,0,126.4,259.7484375,817.7875,22
125,ALHIC2302,2024-04-17-15-24,156_1,l,AC,10,25,1000,,0.25,10,305,-10,25.33104297,149.0895664,18,10,330.9046875,0,0,0,127.3,362.1,627.0546875,22
126,ALHIC2302,2024-04-17-14-15,156_1,l,DC,10,25,1000,,0.25,11,305,-10,25.33104297,149.0895664,18,10,330.9046875,0,0,0,127.3,362.1,627.0546875,22
127,ALHIC2302,2024-04-19-11-04,156_1,r,AC,10,25,1000,,0.25,10,305,-10,37.27152344,162.2415078,18,10,245.984375,0,0,0,127.3,270.6953125,534.23125,22
128,ALHIC2302,2024-04-19-10-54,156_1,r,DC,10,25,1000,,0.25,11,305,-10,37.27152344,162.2415078,18,10,245.984375,0,0,0,127.3,270.6953125,534.23125,22
129,ALHIC2302,2024-04-16-14-59,156_1,t,AC,10,25,1000,,0.25,13,305,-10,2.066230469,242.9420703,18,10,410.909375,0,0,0,127.3,440.4046875,706.971875,22
130,ALHIC2302,2024-04-16-14-42,156_1,t,DC,10,25,1000,,0.25,14,305,-10,2.066230469,242.9420703,18,10,410.909375,0,0,0,127.3,440.4046875,706.971875,22
131,ALHIC2302,2024-04-19-12-31,156_1,tr,AC,10,25,1000,,0.25,9,305,-10,29.15294922,145.0632695,18,10,261.3703125,0,0,0,127.3,280.2828125,549.178125,22
132,ALHIC2302,2024-04-19-12-22,156_1,tr,DC,10,25,1000,,0.25,10,305,-10,29.15294922,145.0632695,18,10,261.3703125,0,0,0,127.3,280.2828125,549.178125,22
133,ALHIC2302,2024-04-17-09-43,156_2,l,AC,10,25,1000,,0.25,9,305,-10,29.36230078,143.9614453,18,10,123.2359375,0,0,0,127.68,133.1671875,770.821875,22
134,ALHIC2302,2024-04-17-09-35,156_2,l,DC,10,25,1000,,0.25,7,305,-10,29.36230078,143.9614453,18,10,123.2359375,0,0,0,127.68,133.1671875,770.821875,22
135,ALHIC2302,2024-04-18-15-00,156_2,r,AC,10,25,1000,,0.25,9,305,-10,43.93902344,158.3640391,18,10,104.2078125,0,0,0,127.68,152.96875,778.4,22
136,ALHIC2302,2024-04-18-14-43,156_2,r,DC,10,25,1000,,0.25,11,305,-10,44.06701562,160.8058125,18,10,103.496875,0,0,0,127.68,152.7546875,782.4125,22
137,ALHIC2302,2024-04-15-14-17,156_2,t,AC,10,25,1000,,0.25,13,305,-10,0.964902344,241.7003477,18,10,177.615625,0,0,0,127.68,236.3296875,839.9578125,22
